rank,ticker,score,price,sector,target_usd,shares
1,SATS,0.5651196119774854,123.18000030517578,Communication Services,40.0,0.3247280394617703
2,SNDK,0.6035105734305751,1187.0,Technology,40.0,0.03369839932603201
3,LITE,0.5686885116603605,949.9299926757812,Technology,40.0,0.04210836620425809
4,SMCI,0.5269823138349168,27.09000015258789,Technology,40.0,1.4765596077775889
5,COIN,0.5246829161821913,191.25,Financial Services,40.0,0.20915032679738563
6,APP,0.5240142834915966,460.0,Communication Services,40.0,0.08695652173913043
7,PSKY,0.5218539939335859,11.09000015258789,Communication Services,40.0,3.606852971112526
8,MRNA,0.5288564550866769,45.369998931884766,Healthcare,40.0,0.8816398708770768
9,INTC,0.5239230650940415,99.62000274658205,Technology,40.0,0.40152578696222124
10,CNC,0.5153875588566347,53.34000015258789,Healthcare,40.0,0.7499062595720545
