year,date,n_universe,corr_model,effn_model,corr_random,effn_random,corr_full,effn_full
2015,2015-01-02,471,0.2486570495814489,3.4937647135483823,0.3826190260360209,2.440124738020464,0.3655801920304282,2.7253365822910376
2015,2015-01-09,471,0.2925009560071819,3.049934365318491,0.35781135861729896,2.5911599376178804,0.3335059672032748,2.9857784787400896
2015,2015-01-16,471,0.3422722556561764,2.6655390166168815,0.3632608924169983,2.561135489979897,0.34753597121694335,2.8659762449594823
2015,2015-01-26,471,0.27077796909932617,3.254794378536366,0.33005304691392257,2.793991336384117,0.3343376022865633,2.978398584244849
2015,2015-02-02,471,0.2665361340658205,3.298051576112496,0.3754483829258524,2.471894384831109,0.3527246800350191,2.8240694726074045
2015,2015-02-09,471,0.23077112577197126,3.714260878313826,0.3628983385505171,2.551450157800881,0.35732115355761984,2.7879565127572494
2015,2015-02-17,471,0.21593687505006512,3.9194163099938293,0.328314802570501,2.835456273294826,0.3596678469114134,2.769873151018736
2015,2015-02-24,471,0.25197590593191604,3.4556983370402894,0.36732450113449716,2.5486154398226604,0.3564927202892567,2.7943968492679505
2015,2015-03-03,471,0.2558574763995511,3.412216935098731,0.32826220109021353,2.821413654525492,0.3529398415278068,2.8223581613734114
2015,2015-03-10,471,0.18719182334361134,4.389194586065465,0.36179122056387186,2.566342329120803,0.35772425426227206,2.784833485779708
2015,2015-03-17,471,0.23924105789691197,3.6064757228645843,0.3748518363491654,2.504019598543855,0.35478414156822935,2.8077739552629866
2015,2015-03-24,471,0.13816254239137477,5.517106981920507,0.3686991368354329,2.523553559604884,0.34667255947372266,2.873070614201686
2015,2015-03-31,471,0.19332389086828247,4.279764868560717,0.372712429220322,2.489550234374113,0.35424998115270356,2.8119824171058383
2015,2015-04-08,471,0.19407914885450991,4.266663182124317,0.3174196912614034,2.872133774026567,0.3275397831106525,3.039813854265381
2015,2015-04-15,471,0.17997536928453373,4.525366017432662,0.326959129277758,2.8445221974717425,0.3208885926857133,3.102406311021402
2015,2015-04-22,471,0.19229848643821532,4.297682186505981,0.2987031152884936,3.0098874056715146,0.31127915567060543,3.197529890314728
2015,2015-04-29,471,0.15054247567922302,5.180935040559061,0.30622198783063104,2.970155500129408,0.2998500997957258,3.3185479012246124
2015,2015-05-06,472,0.14139577016499402,5.425171161503541,0.2874497823602798,3.1106594616758025,0.2945191098364494,3.378221191351704
2015,2015-05-13,472,0.13320849818721364,5.66417962786935,0.2986065798697687,3.025091212284101,0.3011085878770969,3.304809631329629
2015,2015-05-20,472,0.1325139410467778,5.685428299753888,0.31016551022271255,2.9695987480387447,0.3121566305663526,3.18863391451674
2015,2015-05-28,472,0.13054315422189683,5.746598129200871,0.33805810393964153,2.734319147920107,0.3290439985470064,3.026034345790334
2015,2015-06-04,472,0.15128648202003525,5.162032112082665,0.29323217332249113,3.071173730809656,0.31518830984791824,3.158168845225328
2015,2015-06-11,473,0.1488473340478705,5.22452480658481,0.2937872602682081,3.070221302078222,0.30151470952419734,3.3004234620890474
2015,2015-06-18,473,0.12656649308935072,5.874123348445822,0.28734410825270984,3.146475053535954,0.2836078860854477,3.5072649485167804
2015,2015-06-25,473,0.1098807128349544,6.4772428436202,0.2838209403045703,3.194692419108649,0.27781737380068594,3.579813171946328
2015,2015-07-02,473,0.16471521302981876,4.843096920693696,0.28619089553168753,3.124157797334872,0.2941827869732587,3.382091812877352
2015,2015-07-10,473,0.22199927821866672,3.832896236823719,0.308650651938546,2.933767018959755,0.3116806313949889,3.193502096491109
2015,2015-07-17,473,0.20678889282195562,4.057627263446524,0.3163232099075293,2.888886206776874,0.31964585413559027,3.1144475219088927
2015,2015-07-24,473,0.18280545743826673,4.470968523504542,0.29780773962650847,3.0435746801054417,0.32268382467697937,3.0853172019922166
2015,2015-07-31,473,0.24164289474271947,3.5770400529402915,0.3211796181819761,2.8472800698749388,0.3194309651918307,3.116528881422651
2015,2015-08-07,473,0.2038730596931714,4.103752604733609,0.30306655899624435,2.9761098342280095,0.28547121928797115,3.4845409096638056
2015,2015-08-14,473,0.19291350030720592,4.286917832533834,0.27299169108880317,3.3145106420036528,0.27791291681267555,3.5785917877147355
2015,2015-08-21,473,0.2692287452398682,3.2704608174539045,0.3039642390869678,3.0097981562127503,0.309233449370062,3.218602557004503
2015,2015-08-28,473,0.3251626369512967,2.786256471511764,0.4761990574932303,2.0050158559256515,0.4672901226586064,2.1348528512930094
2015,2015-09-04,473,0.3370136923150018,2.7015125207013537,0.5195932559852856,1.846473355739579,0.49864892997844057,2.001165203191188
2015,2015-09-14,473,0.22317588094238808,3.8165449889140697,0.510222826763334,1.9119906671301965,0.5199374779528195,1.9195611387317906
2015,2015-09-21,473,0.3231592263620407,2.8011105223308466,0.5235207114750426,1.850874585611803,0.5224869521220971,1.9102324705378393
2015,2015-09-28,473,0.33320981529171784,2.7281457994501914,0.5258767782667709,1.8372138116388919,0.5103517687782093,1.9554663429299808
2015,2015-10-05,473,0.3953138560253199,2.349910272021298,0.510475138597378,1.8750097005265463,0.5227968246919112,1.9091048058378701
2015,2015-10-12,473,0.3446584526814233,2.6495292988647035,0.49965823405749177,1.9202001672273923,0.5149470595378542,1.9380876300240557
2015,2015-10-19,473,0.24105701019206743,3.584175953283652,0.5040138197124506,1.9123010635667996,0.5150561698759708,1.9376787443031929
2015,2015-10-26,473,0.34099162378688663,2.674211204104313,0.49701816569329893,1.9250002584682293,0.5044739092079794,1.9781551023357993
2015,2015-11-02,473,0.36756095339326467,2.505117292503529,0.48771791823074906,1.9603710672889552,0.49264751327441436,2.0254389456445163
2015,2015-11-09,473,0.2999752741387813,2.9852839493456673,0.4782687357688067,1.9932121746050382,0.4805651860400909,2.076138833662207
2015,2015-11-16,473,0.32195372708737513,2.810125122339248,0.49317218100515625,1.940637950573341,0.4822281148624748,2.0690107357816876
2015,2015-11-23,473,0.3734693376489646,2.4703809307797844,0.41963776134142955,2.245461199639041,0.41836371513995835,2.3832596591113173
2015,2015-12-01,473,0.26314404622645315,3.3334795184648525,0.34123259897185515,2.715084885188781,0.34071482515204654,2.9230478761254917
2015,2015-12-08,473,0.3803851807766335,2.430925721254529,0.31543686018977507,2.9763571512878726,0.3226817073485141,3.085337314747353
2015,2015-12-15,473,0.32932681992655016,2.755880174518256,0.31552649474461997,2.9358934078368315,0.3193232721348357,3.117573015698661
2015,2015-12-22,473,0.2767022892592052,3.1962445425962343,0.3263320941035676,2.868831645141642,0.3275022501233898,3.0402157803945182
2015,2015-12-30,473,0.29700907182502845,3.010609826466067,0.31840986415278894,2.8639522781682887,0.31517615332427573,3.158320439870013
2016,2016-01-04,476,0.1887083905164968,4.361613127265164,0.3064598341218946,2.9898628780529117,0.3079964596721194,3.231537232404253
2016,2016-01-11,476,0.21179513772049746,3.98080644880347,0.33533395298292507,2.750641771330618,0.33600597938283483,2.963833014328647
2016,2016-01-19,476,0.2796206403478692,3.168170196666182,0.37818245490436786,2.4845408673486813,0.3658347156199247,2.723556343310592
2016,2016-01-26,476,0.2763722024193688,3.199451308962345,0.3939573486596205,2.3817831849955162,0.39135227948059353,2.5469209623937408
2016,2016-02-02,476,0.2805275428636655,3.159546024810377,0.4215059525545204,2.2362714038579528,0.41511981981467627,2.4018336961389606
2016,2016-02-09,476,0.3564213482236625,2.573338336012562,0.4089287007422942,2.3057730523742,0.42065634629620907,2.370379052279311
2016,2016-02-17,476,0.33587855596064153,2.7094057126633433,0.4319784208872167,2.1789119579820753,0.41417183146419295,2.4073033950322067
