Date,Close
1999-03-10,43.074337005615234
1999-03-11,43.28523254394531
1999-03-12,42.23078155517578
1999-03-15,43.44340515136719
1999-03-16,43.81248474121094
1999-03-17,43.496116638183594
1999-03-18,44.33968734741211
1999-03-19,43.206138610839844
1999-03-22,42.67891311645508
1999-03-23,41.17633056640625
1999-03-24,42.573486328125
1999-03-25,44.12879943847656
1999-03-26,43.65428924560547
1999-03-29,45.23596954345703
1999-03-30,44.91963195800781
1999-03-31,44.26059341430664
1999-04-01,45.18324661254883
1999-04-05,46.81766128540039
1999-04-06,46.909912109375
1999-04-07,46.42222595214844
1999-04-08,46.791263580322266
1999-04-09,47.08125305175781
1999-04-12,46.76493453979492
1999-04-13,46.13224792480469
1999-04-14,44.55056381225586
1999-04-15,45.15688705444336
1999-04-16,43.838802337646484
1999-04-19,41.782630920410156
1999-04-20,42.731632232666016
1999-04-21,44.840553283691406
1999-04-22,46.05317687988281
1999-04-23,46.65949249267578
1999-04-26,47.73371505737305
1999-04-27,47.002166748046875
1999-04-28,45.394134521484375
1999-04-29,45.025062561035156
1999-04-30,45.3150520324707
1999-05-03,45.07777786254883
1999-05-04,44.366031646728516
1999-05-05,45.71046829223633
1999-05-06,44.0496940612793
1999-05-07,44.68235778808594
1999-05-10,45.13051986694336
1999-05-11,45.84226989746094
1999-05-12,46.791263580322266
1999-05-13,45.92137908935547
1999-05-14,45.05141830444336
1999-05-17,45.862060546875
1999-05-18,45.657752990722656
1999-05-19,46.29041290283203
1999-05-20,45.018497467041016
1999-05-21,44.60328674316406
1999-05-24,43.469764709472656
1999-05-25,42.0462760925293
1999-05-26,43.219322204589844
1999-05-27,43.17977523803711
1999-05-28,43.891544342041016
1999-06-01,42.916175842285156
1999-06-02,43.6411018371582
1999-06-03,43.02159881591797
1999-06-04,44.33968734741211
1999-06-07,45.262325286865234
1999-06-08,44.12879943847656
1999-06-09,44.866905212402344
1999-06-10,44.35285186767578
1999-06-11,43.680641174316406
1999-06-14,42.856868743896484
1999-06-15,43.496116638183594
1999-06-16,45.7302360534668
1999-06-17,46.23768997192383
1999-06-18,46.44858932495117
1999-06-21,47.839149475097656
1999-06-22,46.39584732055664
1999-06-23,47.12738800048828
1999-06-24,46.19154357910156
1999-06-25,46.13224792480469
1999-06-28,47.226234436035156
1999-06-29,47.872100830078125
1999-06-30,48.61021041870117
1999-07-01,48.939720153808594
1999-07-02,49.55921173095703
1999-07-06,49.242889404296875
1999-07-07,49.32196044921875
1999-07-08,49.98100662231445
1999-07-09,50.48186492919922
1999-07-12,50.21824264526367
1999-07-13,49.98100662231445
1999-07-14,50.83115768432617
1999-07-15,51.299049377441406
1999-07-16,51.77357482910156
1999-07-19,51.24633026123047
1999-07-20,49.26923370361328
1999-07-21,49.50648880004883
1999-07-22,48.24775314331055
1999-07-23,48.320255279541016
1999-07-26,47.13398742675781
1999-07-27,48.0829963684082
1999-07-28,49.025413513183594
1999-07-29,47.97754669189453
1999-07-30,47.740272521972656
1999-08-02,47.608482360839844
1999-08-03,47.298728942871094
1999-08-04,46.441993713378906
1999-08-05,47.180118560791016
1999-08-06,46.67265319824219
1999-08-09,46.072940826416016
1999-08-10,45.657752990722656
1999-08-11,47.16035079956055
1999-08-12,46.60676193237305
1999-08-13,48.636566162109375
1999-08-16,49.025413513183594
1999-08-17,49.26923370361328
1999-08-18,48.715641021728516
1999-08-19,48.13570022583008
1999-08-20,48.90019607543945
1999-08-23,50.45549011230469
1999-08-24,50.798187255859375
1999-08-25,51.87900161743164
1999-08-26,51.01568603515625
1999-08-27,50.50822830200195
1999-08-30,49.79645919799805
1999-08-31,50.35004806518555
1999-09-01,50.71251678466797
1999-09-02,50.53457260131836
1999-09-03,52.854366302490234
1999-09-07,52.61712646484375
1999-09-08,51.905364990234375
1999-09-09,52.643489837646484
1999-09-10,53.249794006347656
1999-09-13,52.61054229736328
1999-09-14,52.900508880615234
1999-09-15,51.87900161743164
1999-09-16,51.8526611328125
1999-09-17,53.40798568725586
1999-09-20,53.533172607421875
1999-09-21,52.248085021972656
1999-09-22,52.80165481567383
1999-09-23,50.61366653442383
1999-09-24,50.67957305908203
1999-09-27,51.035438537597656
1999-09-28,51.2726936340332
1999-09-29,50.244606018066406
1999-09-30,50.77183532714844
1999-10-01,50.79160690307617
1999-10-04,51.93173599243164
1999-10-05,52.30080032348633
1999-10-06,53.348655700683594
1999-10-07,53.223426818847656
1999-10-08,53.78361129760742
1999-10-11,54.54151153564453
1999-10-12,53.30252456665039
1999-10-13,51.72083282470703
1999-10-14,52.043758392333984
1999-10-15,50.50822830200195
1999-10-18,49.86894989013672
1999-10-19,50.13916015625
1999-10-20,51.66810607910156
1999-10-21,52.51167297363281
1999-10-22,52.27442169189453
1999-10-25,52.30080032348633
1999-10-26,51.87900161743164
1999-10-27,51.7999382019043
1999-10-28,53.59248352050781
1999-10-29,55.464149475097656
1999-11-01,55.17416763305664
1999-11-02,55.20710754394531
1999-11-03,56.30768966674805
1999-11-04,56.94036102294922
1999-11-05,57.520328521728516
1999-11-08,58.68022155761719
1999-11-09,58.28479766845703
1999-11-10,59.04925537109375
1999-11-11,60.1037483215332
1999-11-12,60.894569396972656
1999-11-15,60.775936126708984
1999-11-16,62.31806182861328
1999-11-17,61.47449493408203
1999-11-18,63.35935592651367
1999-11-19,63.9261360168457
1999-11-22,62.95073699951172
1999-11-23,63.24070739746094
1999-11-24,65.32328033447266
1999-11-26,65.5341567993164
1999-11-29,64.45333099365234
1999-11-30,62.001739501953125
1999-12-01,63.34614562988281
1999-12-02,65.35623168945312
1999-12-03,66.74678039550781
1999-12-06,67.35308074951172
1999-12-07,67.35308074951172
1999-12-08,66.53589630126953
1999-12-09,66.85224914550781
1999-12-10,67.40580749511719
1999-12-13,68.32186889648438
1999-12-14,67.08949279785156
1999-12-15,68.38116455078125
1999-12-16,70.06829071044922
1999-12-17,70.67459106445312
1999-12-20,71.59723663330078
1999-12-21,75.44598388671875
1999-12-22,75.20874786376953
1999-12-23,76.10501098632812
1999-12-27,75.6568832397461
1999-12-28,75.18244171142578
1999-12-29,78.0293960571289
1999-12-30,77.18587493896484
1999-12-31,77.08038330078125
2000-01-03,79.92742156982422
2000-01-04,74.44427490234375
2000-01-05,72.5462875366211
2000-01-06,67.56399536132812
2000-01-07,75.9205093383789
2000-01-10,78.0293960571289
2000-01-11,74.23339080810547
2000-01-12,72.59896850585938
2000-01-13,76.97496032714844
2000-01-14,78.76753997802734
2000-01-18,79.18928527832031
2000-01-19,80.98184967041016
2000-01-20,80.1910400390625
2000-01-21,81.19275665283203
2000-01-24,77.291259765625
2000-01-25,78.45121765136719
2000-01-26,75.2878189086914
2000-01-27,76.3949966430664
2000-01-28,72.5462875366211
2000-01-31,75.6568832397461
2000-02-01,77.68671417236328
2000-02-02,78.34574890136719
2000-02-03,81.4036636352539
2000-02-04,81.95724487304688
2000-02-07,83.09075927734375
2000-02-08,86.57046508789062
2000-02-09,83.51252746582031
2000-02-10,86.25414276123047
2000-02-11,84.25067901611328
2000-02-14,84.14521789550781
2000-02-15,84.75151824951172
2000-02-16,84.35610961914062
2000-02-17,86.14867401123047
2000-02-18,83.03804779052734
2000-02-22,83.30164337158203
2000-02-23,87.94123840332031
2000-02-24,89.83926391601562
2000-02-25,87.78308868408203
2000-02-28,87.73033142089844
2000-02-29,90.05012512207031
2000-03-01,90.78826904296875
2000-03-02,88.68597412109375
2000-03-03,93.68800354003906
2000-03-06,94.42611694335938
2000-03-07,93.00263977050781
2000-03-08,93.84617614746094
2000-03-09,97.00950622558594
2000-03-10,96.5877456665039
2000-03-13,94.05709075927734
2000-03-14,90.577392578125
2000-03-15,86.78131866455078
2000-03-16,91.73729705810547
2000-03-17,93.47708892822266
2000-03-20,90.84104919433594
2000-03-21,94.26797485351562
2000-03-22,96.1659927368164
2000-03-23,97.85308074951172
2000-03-24,99.1711654663086
2000-03-27,99.32933807373047
2000-03-28,96.79862976074219
2000-03-29,92.79169464111328
2000-03-30,90.47193908691406
2000-03-31,92.36994171142578
2000-04-03,86.83406066894531
2000-04-04,85.99052429199219
2000-04-05,84.46156311035156
2000-04-06,86.46501922607422
2000-04-07,89.9447021484375
2000-04-10,84.46156311035156
2000-04-11,82.45811462402344
2000-04-12,77.60763549804688
2000-04-13,74.23339080810547
2000-04-14,67.8012466430664
2000-04-17,75.60415649414062
2000-04-18,77.60763549804688
2000-04-19,75.23509979248047
2000-04-20,73.6007308959961
2000-04-24,71.4917984008789
2000-04-25,76.31591796875
2000-04-26,73.70610809326172
2000-04-27,76.97496032714844
2000-04-28,79.92742156982422
2000-05-01,80.66555786132812
2000-05-02,76.02595520019531
2000-05-03,75.18244171142578
2000-05-04,75.3405532836914
2000-05-05,77.13314056396484
2000-05-08,74.12793731689453
2000-05-09,72.5462875366211
2000-05-10,67.27400970458984
2000-05-11,71.38636779785156
2000-05-12,71.38636779785156
2000-05-15,74.49698638916016
2000-05-16,76.60592651367188
2000-05-17,75.02420806884766
2000-05-18,72.33538055419922
2000-05-19,68.90839385986328
2000-05-22,68.85568237304688
2000-05-23,63.10892105102539
2000-05-24,67.06309509277344
2000-05-25,65.58690643310547
2000-05-26,65.58690643310547
2000-05-30,72.17718505859375
2000-05-31,70.12103271484375
2000-06-01,73.70610809326172
2000-06-02,78.97836303710938
2000-06-05,79.1761474609375
2000-06-06,76.97496032714844
2000-06-07,79.03109741210938
2000-06-08,78.66209411621094
