year,universe,test_cagr,test_sharpe,test_mdd,qqq_cagr,excess,top_features
2005,66,0.4291328339754934,2.482085506390264,-0.08046483038393315,0.015654367009830805,41.34784669656626,"['lowvol', 'momentum']"
2006,68,0.17074176179392953,0.8916451385720728,-0.18343058023603687,0.07173535656963459,9.900640522429494,"['lowvol', 'momentum']"
2007,68,0.0815968857477285,0.509217915295441,-0.1500635136298374,0.19110636510543833,-10.950947935770984,"['momentum', 'ma']"
2008,71,-0.3093458024116512,-0.5898527483744808,-0.5043687270167467,-0.41602640506912847,10.668060265747725,"['lowvol', 'momentum']"
2009,72,0.8032770432549226,2.4367126318833936,-0.137288981420698,0.5468407248627292,25.64363183921934,"['momentum', 'lowvol']"
2010,75,0.276496061569937,1.155358997914481,-0.17742338952200098,0.201437969124866,7.5058092445071,"['lowvol', 'momentum']"
2011,78,0.041086341055035724,0.2840621389492275,-0.2642341880719532,0.03475783115854392,0.6328509896491807,"['lowvol', 'momentum']"
2012,78,0.29605616485887265,1.565141780138926,-0.10651023146089567,0.18269966457943365,11.335650027943899,"['momentum', 'rsi']"
2013,82,0.6416793672556735,3.324903609766161,-0.045981188962022634,0.366341680970915,27.53376862847585,"['ma', 'momentum']"
2014,82,0.3169198170434915,1.544460090595816,-0.10734117529670273,0.1918138329948209,12.510598404867057,"['lowvol', 'momentum']"
2015,83,0.2693341389458155,1.3248506919271534,-0.13712679264034977,0.09435919810723958,17.49749408385759,"['lowvol', 'momentum']"
2016,86,0.358778993464377,1.6750712798438605,-0.17078230696457086,0.070978853029384,28.780014043499303,"['momentum', 'ma']"
2017,86,0.33008566423098795,2.0787087869254726,-0.06653309122140438,0.3281299316554791,0.19557325755088506,"['lowvol', 'momentum']"
2018,87,0.00851598568916434,0.16153068855843472,-0.25379372011529566,-0.0012670947948374423,0.9783080484001783,"['momentum', 'rsi']"
2019,89,0.5467627148171963,2.3022227900504646,-0.09944364159234975,0.38961582462888544,15.714689018831084,"['momentum', 'rsi']"
2020,92,0.6829373210803351,1.470286266272071,-0.39477666837953107,0.4817473507169088,20.118997036342634,"['lowvol', 'momentum']"
2021,95,0.19373838853994862,0.7966224763843287,-0.1800819044910401,0.27419718403717597,-8.045879549722734,"['lowvol', 'momentum']"
2022,96,-0.18428521474192516,-0.4056258976404676,-0.2696054151328755,-0.3268280696748188,14.254285493289364,"['momentum', 'ma']"
2023,98,0.6394525969750038,2.301511155106181,-0.1137126619012937,0.5539831262261725,8.546947074883127,"['lowvol', 'momentum']"
2024,98,0.07307677779756028,0.49238387758657703,-0.13734737570553124,0.25578256058891435,-18.270578279135407,"['momentum', 'ma']"
2025,98,0.1839316321627149,0.8392254227721971,-0.23338138490845328,0.20955049221325694,-2.5618860050542036,"['ma', 'momentum']"
