train_start,test_start,best_w,train_cagr,test_cagr,test_sharpe,test_mdd,qqq_cagr,excess
2010-01-01,2015-01-01,"(0.5, 0.2, 0.3)",0.27278601040603423,-0.0048515343212938156,0.06510575592640885,-0.18038009794781973,0.09435919810723958,-9.921073242853339
2011-01-01,2016-01-01,"(0.1, 0.3, 0.6)",0.23582705402017523,0.21203309750153254,1.1829079045593849,-0.11356572902159556,0.070978853029384,14.105424447214855
2012-01-01,2017-01-01,"(0.5, 0.1, 0.4)",0.28376518877650936,0.32431733274704055,2.5907334004641975,-0.04309583548749241,0.3281299316554791,-0.3812598908438547
2013-01-01,2018-01-01,"(0.5, 0.1, 0.4)",0.3113108657703285,0.08742636308275165,0.4902776468508653,-0.1547875401183617,-0.0012670947948374423,8.86934578775891
2014-01-01,2019-01-01,"(0.5, 0.4, 0.1)",0.24079664546537893,0.3584097229799863,1.7989119822683262,-0.1012212829288146,0.38961582462888544,-3.1206101648899143
2015-01-01,2020-01-01,"(0.7, 0.1, 0.2)",0.3096830536542594,0.6368439247103093,1.4600841410870142,-0.35816348350318683,0.4817473507169088,15.50965739934005
2016-01-01,2021-01-01,"(0.2, 0.1, 0.7)",0.392073817223886,0.25844127286014573,1.272567372210218,-0.12311734834405075,0.27419718403717597,-1.5755911177030235
2017-01-01,2022-01-01,"(0.4, 0.1, 0.5)",0.4282272870406236,-0.2895658730144056,-0.7030577774444743,-0.34161871548290734,-0.3268280696748188,3.7262196660413194
2018-01-01,2023-01-01,"(0.8, 0.1, 0.1)",0.2983455777246862,0.4018840726451167,1.8797944373657929,-0.10331173102729707,0.5539831262261725,-15.20990535810558
2019-01-01,2024-01-01,"(0.8, 0.1, 0.1)",0.3321310816210583,0.07111148627238761,0.47984293398529293,-0.14881019670183615,0.25578256058891435,-18.467107431652675
2020-01-01,2025-01-01,"(-0.3, 0.5, 0.2)",0.23247754647929297,0.053781334316955975,0.36394784663971785,-0.1954521103995136,0.20955049221325694,-15.576915789630096
